Hugo_Symbol	SHAH_H000004_T09_01_WG01	SHAH_H000005_T26_01_WG01	SHAH_H000222_T01_07_WG01	SHAH_H000006_T15_01_WG01	SHAH_H000011_T08_01_WG01	SHAH_H000013_T17_01_WG01	SHAH_H000009_T15_02_WG01	SHAH_H000019_T10_01_WG01	SHAH_H000020_T07_02_WG01	SHAH_H000021_T07_01_WG01	SHAH_H000022_T10_01_WG01	SHAH_H000023_T06_01_WG01	SHAH_H000039_T10_01_WG01	SHAH_H000024_T08_01_WG01	SHAH_H000025_T04_02_WG01	SHAH_H000026_T01_02_WG01	SHAH_H000031_T08_01_WG01	SHAH_H000036_T06_01_WG01	SHAH_H000033_T16_01_WG01	SHAH_H000034_T07_01_WG01	SHAH_H000035_T13_01_WG01	SHAH_H000037_T18_01_WG01	SHAH_H000038_T14_01_WG01	SHAH_H000041_T02_05_WG01	SHAH_H000149_T02_02_WG01	SHAH_H000180_T02_02_WG01	SHAH_H000181_T10_01_WG01	SHAH_H000213_T13_01_WG01	SHAH_H000214_T11_01_WG01	SHAH_H000338_T05_01_WG01	SHAH_H000340_T05_01_WG01	SHAH_H000339_T03_03_WG01	SHAH_H000342_T04_03_WG01	SHAH_H000705_T02_03_WG01	SHAH_H000708_T06_01_WG01	SHAH_H000706_T04_01_WG01	SHAH_H000707_T08_01_WG01	SHAH_H001749_T06_01_WG01	SHAH_H001750_T06_01_WG01	SHAH_H001753_T04_01_WG01
A1CF	0	-1	0	0	-1	0	0	0	0	-1	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	0
ABI1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0
ABL1	0	0	-1	-1	-1	0	0	0	-1	0	-1	-1	0	-1	0	0	0	-1	-1	0	-1	-1	0	-1	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	0	-1	0
ABL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
ACKR3	0	0	0	-1	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	-1	-1	0	0	-1	-1	0	0	-1	0	0	-1	0	0	-1	-1	0	-1	0	0
ACSL3	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	-1	0	0	0	-1	0	0	-1	0	0	-1	-1	0	-1	0	0
ACSL6	0	0	0	0	-1	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	0	-1	-1	0	-1	0	0	-1	-1	0	0	0	-1	0	0	0	-1	0	-1	0	0
ACVR1	0	0	0	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	-1	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	-1	0	-1	0	0
ACVR2A	0	0	0	-1	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	-1	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	-1	0	-1	0	0
AFF1	0	0	0	-1	-1	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	-1	0	0	-1	-1	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1	-1	0	0	0
AFF3	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0
AFF4	0	0	0	0	-1	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	0	-1	-1	0	-1	0	0	-1	-1	0	0	0	-1	0	0	0	-1	0	-1	0	0
AKAP9	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
AKT1	0	-1	0	0	0	-1	0	-1	-1	0	-1	-1	0	0	0	-1	-1	0	-1	0	0	-1	0	0	0	0	-1	-1	0	0	0	-1	0	0	0	-1	0	0	-1	0
AKT2	0	0	-1	-1	0	-1	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	-1	-1	-1	0	0	0	0
AKT3	0	0	0	-1	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0
ALDH2	0	-1	0	0	-1	-1	0	-1	0	0	-1	-1	0	-1	0	0	-1	0	-1	0	0	-1	-1	-1	0	-1	0	-1	-1	0	0	-1	0	0	0	0	0	-1	-1	0
ALK	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
AMER1	0	-1	0	-1	0	0	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	0	0	0	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	0	-1	-1	-1	0
ANK1	0	0	1	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	-1	0	0	1	-1	0	0	-1	0	0	0
APC	0	0	0	0	-1	0	0	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	0	0	-1	-1	0	0	0	-1	0	0	0	-1	0	-1	0	0
APOBEC3B	-1	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
AR	0	-1	0	-1	0	0	-1	0	-1	-1	-1	0	0	-1	-1	-1	-1	0	0	-1	0	0	0	0	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	0	-1	-1	-1	0
ARAF	0	-1	0	0	0	0	0	0	0	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	-1	0	0	0	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	0	0	-1	-1	0
ARHGAP26	0	0	0	0	-1	0	0	0	0	-1	-1	0	0	0	-1	-1	-1	-1	0	0	-1	-1	0	-1	0	0	-1	-1	0	0	0	-1	0	0	0	-1	0	0	0	0
ARHGAP5	0	-1	0	0	0	-1	0	-1	-1	0	0	-1	0	0	0	0	-1	0	-1	0	0	-1	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	-1	0	0	0
ARHGEF10	0	-1	-1	-1	-1	0	0	-1	-1	-1	-1	0	0	0	0	0	-1	0	-1	0	-1	-1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1
ARHGEF10L	0	0	0	-1	-1	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	-1	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	-1	-1	0
ARHGEF12	0	0	0	-1	0	-1	0	0	-1	0	-1	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	-1	0	0	0
ARID1A	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	-1	0	0	-1	0	0	-1	-1	-1	0	0	-1	0	-1	0	0	0	0	0	0	0	-1	-1	-1	0
ARID1B	0	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	-1	-1	0	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	-1	0	0	-1	-1	-1
ARID2	1	-1	0	0	-1	0	0	0	0	0	0	-1	0	-1	0	0	-1	0	-1	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	-1	0
ARNT	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASPSCR1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
ASXL1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
ASXL2	0	0	0	-1	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0
ATF1	0	-1	0	0	-1	0	0	-1	0	0	0	-1	0	-1	0	0	-1	0	-1	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	-1	0
ATIC	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	-1	0	0	0	0	0	0	0	0	0	-1	-1	0	-1	0	0
ATM	0	0	0	-1	0	-1	0	0	-1	0	0	0	0	0	-1	-1	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	-1	-1	0	0
ATP1A1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	-1	-1	0	0	0	0	0	0	0	0	-1	0	0	0
ATP2B3	0	-1	0	-1	0	0	-1	0	-1	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	-1	0	-1	-1	0	0	-1	-1	0	-1	0	0	0	-1	0	-1	-1	-1	0
ATR	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	-1	0	0	0	-1
ATRX	0	-1	0	-1	0	0	-1	0	-1	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	0	-1	0	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	0	-1	-1	-1	0
AXIN1	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	-1	-1	0	0	0	0	-1	-1	0	-1	0	0	-1	-1
AXIN2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
B2M	0	-1	0	0	-1	0	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	0	-1	0	0	0	0	0	0	-1	-1	0	0	-1	-1	-1	-1	0	-1	-1	0	0
BAP1	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0
BARD1	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	-1	0	0
BAX	0	0	-1	0	0	-1	0	-1	0	0	-1	0	0	0	-1	-1	-1	0	-1	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	-1	-1	-1	0	-1	-1	0
BAZ1A	0	-1	0	0	0	-1	0	-1	-1	0	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	0	0	-1	-1	0	0	-1	0	0	0	0	0	0	-1	0	0	0
BCL10	-1	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	-1	0	0	0	-1	0	0	-1	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0
BCL11A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0
BCL11B	0	-1	0	0	0	-1	0	-1	-1	0	0	-1	0	0	0	-1	-1	0	-1	0	0	-1	0	0	0	0	-1	-1	-1	-1	0	-1	0	0	0	-1	-1	0	-1	0
BCL2	-1	0	-1	-1	-1	-1	0	0	-1	-1	-1	-1	0	0	0	0	-1	-1	-1	0	-1	0	0	0	0	0	-1	-1	0	0	0	-1	0	0	0	-1	0	-1	-1	-1
BCL2L12	0	0	-1	0	0	-1	0	-1	0	0	-1	0	0	0	-1	0	-1	0	-1	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	-1	-1	-1	0	-1	-1	0
BCL3	0	0	-1	0	0	-1	0	-1	0	0	0	0	0	0	0	-1	-1	0	-1	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	-1	0
BCL6	-1	1	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	1	0	-1	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	-1	-1	0
BCL7A	0	-1	0	0	-1	-1	0	-1	0	0	-1	-1	0	-1	0	0	-1	0	-1	0	0	-1	0	0	0	0	-1	-1	-1	0	0	-1	0	0	0	-1	0	-1	-1	0
BCL9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL9L	0	0	0	-1	0	-1	0	0	-1	0	-1	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	-1	0	0	0
BCLAF1	0	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	0	-1	0	0	-1	-1	-1	0	-1	-1	0	0	0	0	0	-1	-1	-1	-1	-1	0	0	-1	0	0	-1	0	-1
BCOR	0	-1	0	0	0	0	0	0	0	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	-1	0	0	0	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	0	0	-1	-1	0
BCORL1	0	-1	0	-1	0	0	-1	0	-1	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	-1	0	-1	-1	0	0	-1	-1	0	-1	0	-1	0	-1	0	-1	-1	-1	0
BCR	-1	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	0	-1	-1	-1	0	0	-1	-1	-1	0	-1	-1	0	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
BIRC3	0	0	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	-1	0	0
BIRC6	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
BLM	0	0	0	-1	-1	-1	-1	0	0	-1	0	-1	0	-1	0	0	-1	0	0	0	-1	0	0	0	0	0	-1	-1	-1	-1	1	-1	-1	-1	-1	0	-1	-1	0	0
BMP5	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	0	0	0	-1	0	-1	0	0	-1	0	-1	0	1	0	-1	0
BMPR1A	0	-1	0	0	-1	-1	0	0	0	-1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	-1	0	0	0	-1	0	-1	0	-1
BRAF	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	0	0	0	0	-1	0	-1	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
BRCA1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1
BRCA2	-1	-1	-1	-1	-1	0	-1	-1	0	-1	0	-1	-1	0	0	-1	0	0	0	0	-1	0	0	-1	0	0	-1	0	-1	0	-1	-1	0	-1	-1	-1	-1	-1	0	-1
BRD3	0	0	-1	-1	-1	0	0	0	-1	0	-1	-1	0	-1	0	0	0	-1	-1	0	-1	-1	0	-1	0	0	-1	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	0
BRD4	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	-1	0	0	-1	0	0	0	0
BRIP1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
BTG1	0	-1	0	0	-1	0	0	-1	0	0	0	-1	0	-1	0	0	-1	0	-1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	0	0	0	0	0	-1	-1	0
BTK	0	-1	0	0	0	0	-1	0	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	-1	0	-1	-1	0	0	-1	-1	0	-1	0	-1	0	-1	0	-1	-1	-1	0
BUB1B	0	-1	0	-1	-1	0	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	-1	-1	0	-1	-1	0	0
C15orf65	0	-1	0	-1	-1	0	-1	0	0	-1	-1	0	0	-1	-1	0	-1	0	-1	0	-1	0	0	0	0	0	-1	-1	-1	-1	0	-1	-1	-1	-1	0	-1	-1	0	0
C2orf44	0	0	0	-1	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0
CACNA1D	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
CALR	0	0	1	-1	0	0	0	-1	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	-1	0	0	-1	0	0	0	0
CAMTA1	0	0	0	-1	-1	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	-1	0	0	0	-1	0	-1	0	0	0	0	0	0	-1	0	-1	0	0
CANT1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
CANX	0	0	0	0	-1	0	0	0	-1	-1	-1	1	0	0	-1	0	-1	-1	0	0	-1	0	0	-1	0	0	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	0
CARD11	0	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	-1	-1	0	0	0	-1	-1	0	0	0	0	-1	-1	0
CARS	-1	-1	-1	-1	-1	-1	0	-1	-1	0	0	-1	0	0	-1	0	0	-1	-1	0	-1	0	0	0	0	0	-1	-1	0	-1	0	0	-1	0	0	-1	-1	-1	0	-1
CASC5	0	-1	0	-1	-1	0	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	-1	-1	0	-1	-1	0	0
CASP3	0	-1	0	-1	-1	-1	0	0	0	-1	-1	-1	-1	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	0	0	-1	-1	-1	-1	-1	0
CASP8	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	0	0	0	0	0	0	0	0	0	-1	-1	0	-1	0	0
CASP9	0	0	0	-1	-1	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	-1	0	0	0	-1	0	-1	0	0	0	0	-1	0	0	0	-1	-1	0
CBFA2T3	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	0	0	-1	0	0	-1	0	-1	-1	-1	0	0	0	0	0	-1	-1	0	-1	0	0	-1	0	-1	-1	0	-1	0	-1
CBFB	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	-1
CBL	0	0	0	-1	0	-1	0	0	-1	0	-1	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	-1	0	0	0
CBLB	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
CBLC	0	0	-1	0	0	-1	0	-1	0	0	0	0	0	0	0	-1	-1	0	-1	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	-1	0
CCDC6	0	-1	0	0	-1	0	0	0	0	-1	-1	-1	0	0	0	0	-1	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	-1	0	-1	0	-1
CCNB1IP1	0	-1	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	-1	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	0	-1	0	0	0
CCNC	0	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	0	-1	0	0	-1	0	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	-1	0	-1	0	0	-1	0	-1
CCND1	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	1	0	0	0
CCND2	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	1	0
CCND3	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	0	0	0	-1	-1	0	0	0	-1	0	-1	0	0	1	0	-1	0	0	0	0	0
CCNE1	0	0	2	0	0	-1	0	-1	2	0	0	0	0	0	-1	0	-1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	-1	2	2	-1	0	0	0	0
CCR4	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	0	-1	0	-1	-1	0	-1	-1	-1	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	-1	0
CCR7	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
CD209	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	0	0	-1	0	1	0	0	0	0	-1	0	0	0	0	0	-1	-1	-1	0	0	-1	0	0	0	0
CD274	0	-1	0	0	-1	-1	0	0	-1	0	0	-1	0	-1	0	-1	0	0	0	0	-1	0	0	-1	0	-1	0	-1	0	0	0	-1	0	0	-1	-1	-1	-1	-1	0
CD28	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	-1	0	0	-1	0	0	0	0	0	0	0	0	0	-1	-1	0	-1	0	0
CD74	0	0	0	0	-1	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	-1	0	0	-1	-1	0	-1	0	0	-1	-1	0	0	0	-1	0	0	0	-1	0	0	0	0
CD79A	0	0	-1	0	0	-1	0	-1	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	1	0	-1	0	-1	0	0	0	0	0	-1	-1	-1	-1	0	0	0	0
CD79B	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
CDC73	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	-1	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH1	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	-1
CDH10	0	0	0	0	-1	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0
CDH11	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	0	0	-1	0	0	-1	0	-1	-1	-1	0	0	0	0	0	-1	-1	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	-1
CDH17	0	0	-1	0	0	0	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	0	0	0	0
